,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,POP2000,ALAND10,MSA Code,MSA Name,Density,POPlog,Totlog,Dlog
338,2.15160571,0.260130683,0.053286019,0.53421547,0.002225638,1.012398448,0,0.031700679,0.079685505,0.177963261,146438,1252.784157,47220,"Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area",116.8900478,5.165653789,0.332762688,2.067777536
198,2.154785603,0.043950051,0.435134957,0.202748443,0.192595098,1.013999467,0,0.046902803,0.117898859,0.101555925,12365627,12557.43073,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical AreaLos Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",984.7258777,7.092216142,0.333404065,2.993315351
218,2.208901391,0.136995476,0.213916326,0.214530122,0.097997615,1.295108573,0,0.030734083,0.07725578,0.142363414,446997,3871.582888,33700,"Modesto, CA Metropolitan Statistical Area",115.4558776,5.650304608,0.344176329,2.062416047
287,2.232101517,0.124366661,0.25631554,0.195709822,0,1.332214208,0,0.056638632,0.142371664,0.124484989,347214,4980.838711,41420,"Salem, OR Metropolitan Statistical AreaSalem, OR Metropolitan Statistical Area",69.70994649,5.540597228,0.348713943,1.843294749
121,2.233536064,0.146250333,0.254010901,0.237694133,0.006362375,1.278512855,0,0.047697602,0.119896732,0.143111132,799407,15431.12641,23420,"Fresno, CA Metropolitan Statistical Area",51.80483776,5.902767947,0.348992969,1.714370318
241,2.241258436,0.133446201,0.064066712,0.253801881,0,1.504500731,0,0.043968132,0.110522032,0.130952743,207355,1869.871525,36500,"Olympia, WA Metropolitan Statistical Area",110.8926454,5.316714512,0.350491937,2.044902744
208,2.269373826,0.164213324,0.238103939,0.216102025,0.002156557,1.272019253,0,0.064887008,0.163105468,0.148786246,181269,7209.356169,32780,"Medford, OR Metropolitan Statistical Area",25.14357673,5.258323539,0.355906042,1.400427057
105,2.326151741,0.15982791,0.36409565,0.216034453,0,1.245216984,0,0.05894176,0.148161024,0.133873959,322959,11792.52433,21660,"Eugene-Springfield, OR Metropolitan Statistical Area",27.38675714,5.509147392,0.366638041,1.437540611
313,2.363462594,0.197891963,0.283189375,0.339633561,0,1.185211674,0,0.068140281,0.171283187,0.118112552,417939,4568.198649,44060,"Spokane, WA Metropolitan Statistical Area",91.48879725,5.621112899,0.373548733,1.961367918
103,2.37863897,0.112556127,0.587119263,0.209264212,0.395044026,0.879810118,0,0.031922925,0.080244165,0.082678136,679622,2622.862905,21340,"El Paso, TX Metropolitan Statistical Area",259.1145724,5.832267429,0.37632853,2.413491838
340,2.388352113,0.136668204,0.389971165,0.218712538,6.38E-05,1.352015227,0,0.042377718,0.106524245,0.142019219,368021,12494.65817,47300,"Visalia-Porterville, CA Metropolitan Statistical Area",29.45426718,5.565872601,0.378098355,1.469148222
233,2.407797086,0.267477822,0.062539675,0.526057604,0.493625474,0.859971937,0,0.029102415,0.073154297,0.095867861,18944519,21481.91909,35620,"New York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaPoughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaPoughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical AreaNew York-Newark-Edison,  NY-NJ-PA Metropolitan Statistical Area",881.8820573,7.277483583,0.381619884,2.945410507
100,2.415383656,0.170339712,0.623361619,0.231602974,0.008538518,1.176915544,0,0.014118925,0.035490558,0.155015788,107547,2291.613567,21060,"Elizabethtown, KY Metropolitan Statistical AreaElizabethtown, KY Metropolitan Statistical Area",46.93068742,5.0315983,0.382986123,1.671456916
296,2.431240203,0.179290806,0.22912543,0.307934866,0.0075617,1.247294166,0.120820607,0.057860555,0.145443193,0.135908879,1735819,6938.085772,41940,"San Jose-Sunnyvale-Santa  Clara, CA Metropolitan Statistical AreaSan Jose-Sunnyvale-Santa  Clara, CA Metropolitan Statistical Area",250.1870195,6.239504438,0.385827869,2.398264773
164,2.469012805,0.215929416,0.210237421,0.658900058,0.008513703,1.021739793,0,0.075979528,0.190988578,0.086724308,152598,1782.819861,27780,"Johnstown, PA Metropolitan Statistical Area",85.5936168,5.183548842,0.392523342,1.932441378
266,2.496935034,0.05517383,0.23999032,0.036151101,0.000220644,1.668511597,0,0.061597789,0.154837411,0.280452336,141627,1761.913582,39460,"Punta Gorda, FL Metropolitan Statistical Area",80.3824895,5.151146056,0.397407243,1.905161452
207,2.525885554,0.079681484,0.099902571,0.032819978,1.175281795,0.958518474,0,0.022858741,0.057459673,0.099362838,569463,4068.521768,32580,"McAllen-Edinburg-Pharr,  TX Metropolitan Statistical Area",139.9680357,5.755465512,0.402413669,2.146028868
299,2.530376668,0.207144201,0.133907638,0.248162675,0.094184024,1.099819876,0.451085887,0.053739396,0.135083892,0.107249083,255602,1152.986019,42100,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",221.6869899,5.407564248,0.403185174,2.345740207
205,2.536539414,0.282455733,0.283235282,0.567498875,0,0.989027615,0,0.078267434,0.196739637,0.139314837,380841,2269.188527,31700,"Manchester-Nashua,  NH Metropolitan Statistical Area",167.8313615,5.580743697,0.404241615,2.224873118
211,2.543012332,0.054800439,0.254770889,0.035435014,0.572940406,1.204436033,0.070448108,0.059688108,0.150037084,0.140456251,5007564,13150.05328,33100,"Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical AreaMiami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical AreaMiami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area",380.8018031,6.699626509,0.405348466,2.580698996
170,2.546483667,0.146847202,0.196527989,0.05767548,0.014861017,1.570235755,0,0.093756514,0.235674328,0.230905386,191822,7621.169539,28420,"Kennewick-Richland-Pasco, WA Metropolitan Statistical AreaKennewick-Richland-Pasco, WA Metropolitan Statistical Area",25.16962771,5.282898415,0.405940895,1.400876792
52,2.576985066,0.243948903,0.488041584,0.565137786,0,1.070528803,0,0.014149985,0.035568603,0.159609403,406934,2511.976008,15940,"Canton-Massillon, OH Metropolitan Statistical AreaCanton-Massillon, OH Metropolitan Statistical Area",161.9975663,5.609523977,0.411111902,2.20950849
260,2.584246832,0.183082967,0.566680829,0.202270796,0.086193897,1.165568115,0,0.063823551,0.160432279,0.156194401,1927881,17310.82511,38900,"Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical AreaPortland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area",111.3685216,6.285080223,0.412333993,2.046762454
228,2.593810129,0.166000129,0.129997916,0.319825602,0.037143974,1.293746425,0,0.129010058,0.324290628,0.193795396,124279,1938.247338,34900,"Napa, CA Metropolitan Statistical Area",64.11926773,5.09439775,0.413938182,1.806988554
254,2.595891247,0.214142872,0.087049954,0.08633046,0.308556423,1.360234168,0,0.098077587,0.24653613,0.194963653,3251876,37725.1298,38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical AreaPhoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",86.19919977,6.512133977,0.414286494,1.935503234
267,2.598411484,0.272297271,0.410118911,0.477164433,0,0.983002484,0,0.091947615,0.231127304,0.132753467,188831,861.173331,39540,"Racine, WI Metropolitan Statistical Area",219.2717693,5.276073293,0.414707927,2.340982721
329,2.602535736,0.087828307,0.185442925,0.183497432,0.373592989,1.219794225,0.147273676,0.078131395,0.196397696,0.130577091,843746,23794.31194,46060,"Tucson, AZ Metropolitan Statistical Area",35.45998733,5.926211727,0.415396702,1.549738576
203,2.60529058,0.163256017,0.290524373,0.144998643,9.57E-06,1.639218026,0,0.049884525,0.125393927,0.192005499,123109,5534.982985,31460,"Madera, CA Metropolitan Statistical Area",22.24198346,5.090289804,0.415856169,1.347173513
305,2.619590888,0.205801078,0.313996655,0.263911959,0.021612272,1.357543256,0.045871348,0.075963438,0.190948126,0.143942754,3043878,15209.31038,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical AreaSeattle-Tacoma-Bellevue, WA Metropolitan Statistical AreaSeattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",200.1325454,6.483427242,0.418233471,2.301317719
350,2.621696959,0.127765608,0.28912594,0.203102565,0,1.584211841,0,0.078283724,0.196780616,0.142426658,151524,6784.750731,48660,"Wichita Falls, TX Metropolitan Statistical AreaWichita Falls, TX Metropolitan Statistical AreaWichita Falls, TX Metropolitan Statistical Area",22.33302387,5.180481427,0.41858249,1.34894753
268,2.635496621,0.17447652,0.100317499,0.239087505,0.000559827,1.67150504,0,0.07260573,0.182507912,0.194436592,797071,5486.112667,39580,"Raleigh-Cary, NC Metropolitan Statistical AreaRaleigh-Cary, NC Metropolitan Statistical AreaRaleigh-Cary, NC Metropolitan Statistical Area",145.2888499,5.901497008,0.420862464,2.162232286
229,2.643923895,0.04628172,0.219283204,0.030732239,0.097031932,1.570982254,0,0.098702065,0.248105869,0.332804612,251377,5175.63619,34940,"Naples-Marco Island, FL Metropolitan Statistical Area",48.56929482,5.400325539,0.42224895,1.686361798
173,2.64614835,0.173610293,0.141510405,0.518435738,0.020190516,1.587873164,0,0.02954573,0.074268648,0.100713855,177749,2911.755518,28740,"Kingston, NY Metropolitan Statistical Area",61.04530374,5.249807166,0.422614188,1.785652259
293,2.646262832,0.506060052,0.071133767,0.095267101,0.353335165,1.29065177,0,0.053984354,0.135699644,0.14013098,2813833,10895.12065,41740,"San Diego-Carlsbad-San  Marcos, CA Metropolitan Statistical Area",258.2654283,6.449298319,0.422632977,2.412066275
50,2.659289817,0.111962875,0.48795068,0.328958349,0,1.464934044,0,0.033565665,0.084373517,0.147544687,130800,1098.007863,15500,"Burlington, NC Metropolitan Statistical Area",119.12483,5.116607744,0.42476567,2.076002294
279,2.672758212,0.120318411,0.202304798,0.273231475,0.002131959,1.872848811,0,0.018704816,0.047018032,0.136199915,143026,2708.46116,40580,"Rocky Mount, NC Metropolitan Statistical AreaRocky Mount, NC Metropolitan Statistical Area",52.80710763,5.155414993,0.426959673,1.722692381
93,2.679087154,0.137799627,0.19349791,0.228402458,0,1.804333598,0,0.041782724,0.105028557,0.168242265,130861,4444.374403,20020,"Dothan, AL Metropolitan Statistical AreaDothan, AL Metropolitan Statistical AreaDothan, AL Metropolitan Statistical Area",29.44418902,5.116810235,0.427986842,1.468999597
135,2.690306894,0.150658644,0.702819382,0.104251914,0.000787399,1.405139986,0,0.046984906,0.118105234,0.161559426,559940,5167.881337,24860,"Greenville, SC Metropolitan Statistical AreaGreenville, SC Metropolitan Statistical AreaGreenville, SC Metropolitan Statistical Area",108.3500111,5.748141493,0.429801824,2.03482896
32,2.701507346,0.112201626,0.203651781,0.225908587,0,1.4718543,0,0.119056498,0.299270485,0.269564069,115367,7817.065156,13460,"Bend, OR Metropolitan Statistical Area",14.75835211,5.062081599,0.431606153,1.169037868
319,2.708501097,0.133910983,0.610726149,0.224499113,0.014668899,1.407447759,0,0.035650098,0.089613091,0.191985007,563598,3603.505998,44700,"Stockton, CA Metropolitan Statistical Area",156.4026813,5.750969443,0.432729016,2.194244194
333,2.71509663,0.208657785,0.177305379,0.517896247,0.064770707,1.459531321,0,0.042126641,0.10589311,0.138915447,299896,6795.865243,46540,"Utica-Rome, NY Metropolitan Statistical AreaUtica-Rome, NY Metropolitan Statistical Area",44.1291858,5.476970673,0.433785291,1.644725915
75,2.719068659,0.126398008,0.752625996,0.265166307,0,1.376632581,0,0.022452085,0.056437466,0.119356215,281768,5014.563083,17980,"Columbus, GA-AL Metropolitan Statistical AreaColumbus, GA-AL Metropolitan Statistical AreaColumbus, GA-AL Metropolitan Statistical AreaColumbus, GA-AL Metropolitan Statistical AreaColumbus, GA-AL Metropolitan Statistical Area",56.18994025,5.449891669,0.434420174,1.74965857
206,2.721333251,0.222102071,0.148154464,0.547045401,0,1.435579308,0,0.067618974,0.169972822,0.130860204,128852,1282.739691,31900,"Mansfield, OH Metropolitan Statistical Area",100.4506221,5.110091164,0.434781728,2.001952631
320,2.731451637,0.172000096,0.727337223,0.185936433,0,1.37401701,0,0.041395046,0.104054058,0.126711771,104646,1722.512472,44940,"Sumter, SC Metropolitan Statistical Area",60.75195489,5.019722632,0.436393515,1.783560257
151,2.759207742,0.151186272,0.192347104,0.236213672,0,1.564570884,0,0.121259589,0.304808383,0.188821836,342376,3526.344855,26620,"Huntsville, AL Metropolitan Statistical AreaHuntsville, AL Metropolitan Statistical Area",97.09090122,5.534503314,0.4407844,1.987178532
311,2.791569328,0.431222843,0.432069525,0.479870916,0,1.159602874,0,0.039223882,0.098596467,0.150982824,316663,2455.080468,43780,"South Bend-Mishawaka, IN-MI Metropolitan Statistical AreaSouth Bend-Mishawaka, IN-MI Metropolitan Statistical Area",128.9827377,5.500597322,0.445848418,2.110531591
152,2.792019709,0.25677518,0.575865142,0.363562497,0,1.177999056,0,0.053049618,0.13335001,0.231418187,101677,7665.271805,26820,"Idaho Falls, ID Metropolitan Statistical AreaIdaho Falls, ID Metropolitan Statistical Area",13.26463074,5.007222724,0.44591848,1.122695165
68,2.795860664,0.118965072,0.511902024,0.157392876,0,1.807838206,0,0.020092698,0.050506725,0.129163073,104015,1977.295461,17420,"Cleveland, TN Metropolitan Statistical AreaCleveland, TN Metropolitan Statistical Area",52.60468253,5.017095973,0.446515524,1.721024404
264,2.799559035,0.078274292,0.29633006,0.493407876,0.000985264,1.358608213,0.320597884,0.033262566,0.083611624,0.134481262,376774,13974.88079,39340,"Provo-Orem, UT Metropolitan Statistical AreaProvo-Orem, UT Metropolitan Statistical Area",26.96080243,5.576080926,0.44708963,1.430732814
141,2.835729647,0.3514187,0.126725951,0.660957392,0.147553174,1.278584441,0,0.044312023,0.11138646,0.114791509,1148618,3922.826533,25540,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical AreaHartford-West Hartford-East Hartford, CT Metropolitan Statistical AreaHartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",292.8036686,6.060175618,0.452664824,2.466576514
342,2.846322503,0.09083353,0.428453726,0.135724299,0.473511714,1.572831355,0,9.87E-06,2.48E-05,0.144933192,110765,972.645761,47580,"Warner Robins, GA Metropolitan Statistical Area",113.8801036,5.044402552,0.454284106,2.056447853
38,2.849253575,0.389816263,0.339886944,0.368455175,0.068716346,1.426469135,0,0.026145722,0.065722089,0.164041896,175506,3424.720821,14020,"Bloomington, IN Metropolitan Statistical AreaBloomington, IN Metropolitan Statistical AreaBloomington, IN Metropolitan Statistical Area",51.24680497,5.244291968,0.454731102,1.709666794
307,2.876927673,0.127182386,0.344851838,0.178397315,0,1.93223539,0,0.039023166,0.098091921,0.157145667,110595,2415.950507,43300,"Sherman-Denison, TX Metropolitan Statistical Area",45.77701392,5.043735493,0.458928944,1.66064746
351,2.887132601,0.269987721,0.393659292,0.602979582,0,1.389043576,0,0.030082361,0.075617574,0.125762504,120044,3182.044798,48700,"Williamsport, PA Metropolitan Statistical Area",37.7254274,5.079340458,0.460466731,1.576634169
304,2.887979591,0.290718145,0.248972552,0.603693417,0.224110899,1.308065486,0,0.033733833,0.084796227,0.093889029,560625,4524.019996,42540,"Scranton--Wilkes-Barre,  PA Metropolitan Statistical AreaScranton--Wilkes-Barre,  PA Metropolitan Statistical AreaScranton--Wilkes-Barre,  PA Metropolitan Statistical Area",123.9218661,5.74867246,0.46059412,2.093147945
274,2.89200429,0.132980192,0.444715689,0.219853991,0.148854559,1.282944999,0.264581671,0.066962693,0.168323097,0.1627874,3254821,70611.92617,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical AreaRiverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",46.0944939,6.512527109,0.461198933,1.663649051
19,2.8920635,0.42145062,0.02052445,0.523713809,0,1.388645542,0,0.10502664,0.264003869,0.168698569,252552,1439.267859,12100,"Atlantic City, NJ Metropolitan Statistical Area",175.4725491,5.402350812,0.461207824,2.244209185
231,2.892287735,0.308923718,0.0761241,0.648511203,0.567601988,1.090136291,0,0.024585084,0.061799148,0.114606203,824008,1565.663096,35300,"New Haven-Milford, CT Metropolitan Statistical Area",526.2996887,5.915931428,0.461241496,2.721233113
11,2.897253926,0.210928673,0.470506936,0.464560829,0.008560259,1.496493709,0,0.027017367,0.067913091,0.151273069,133358,1170.454727,11300,"Anderson, IN Metropolitan Statistical Area",113.9369144,5.125019074,0.46198656,2.056664454
236,2.915938103,0.053316929,0.306410264,0.035406804,0,2.200963451,0,0.025568779,0.06427186,0.230000012,258916,4103.955681,36100,"Ocala, FL Metropolitan Statistical Area",63.08937526,5.413158889,0.464778301,1.799956227
104,2.92586375,0.270910811,0.648258354,0.511958087,0.023111849,1.219908764,0,0.028202494,0.070892189,0.152621198,280843,2069.799485,21500,"Erie, PA Metropolitan Statistical Area",135.6860904,5.448463604,0.466254098,2.132535329
1,2.94730192,0.227891585,0.466846112,0.576324488,0,1.388594624,0,0.045382185,0.114076494,0.128186432,694960,2331.323747,10420,"Akron, OH Metropolitan Statistical AreaAkron, OH Metropolitan Statistical Area",298.0967362,5.841959809,0.469424627,2.474357221
77,2.952966934,0.260787648,0.318582182,0.53635822,0.103138163,1.334268397,0,0.065632272,0.164978841,0.169221207,1612694,10275.00394,18140,"Columbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical AreaColumbus, OH Metropolitan Statistical Area",156.9531271,6.20755197,0.470258584,2.195769973
335,2.95441628,0.258649186,0.955099503,0.277686272,0.00555879,1.185087403,0,0.037766522,0.09493313,0.139635474,394542,2128.361199,46700,"Vallejo-Fairfield, CA Metropolitan Statistical Area",185.3736105,5.596093242,0.470471688,2.268047909
281,2.955793872,0.809933323,0.066875222,0.238108738,0.181602702,1.265058032,0,0.06366361,0.160030241,0.170522005,1796857,13193.9807,40900,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical AreaSacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical AreaSacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical AreaSacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",136.1876329,6.254513516,0.470674144,2.134137671
321,2.956105618,0.204092346,0.294759579,0.49536848,0.276817726,1.40952407,0,0.0442539,0.111240358,0.120049161,650154,6176.814472,45060,"Syracuse, NY Metropolitan Statistical AreaSyracuse, NY Metropolitan Statistical AreaSyracuse, NY Metropolitan Statistical Area",105.2571682,5.813016239,0.470719947,2.022251682
43,2.965534119,0.315982662,0.657108106,0.290881794,0,1.258570455,0,0.068225448,0.171497235,0.203268408,104166,2187.202265,14540,"Bowling Green, KY Metropolitan Statistical AreaBowling Green, KY Metropolitan Statistical Area",47.625225,5.017725987,0.472102925,1.677837041
246,2.970421987,0.148521736,0.393564954,0.243102889,0.857187871,0.994867266,0,0.057856431,0.145432827,0.129888013,753197,4773.691889,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",157.7808157,5.876908582,0.472818151,2.198054197
360,2.987100221,0.085224195,0.069036638,0.099095072,0.320672509,1.478066021,0,0.219260526,0.55115185,0.16459341,160026,14281.17436,49740,"Yuma, AZ Metropolitan Statistical Area",11.20538101,5.20419055,0.475249794,1.049426628
295,2.989394279,0.132180743,0.486516553,0.348890714,0.535826399,1.16753761,0,0.055846644,0.140380855,0.122214759,4123740,6398.672255,41860,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical AreaSan Francisco-Oakland-Fremont, CA Metropolitan Statistical AreaSan Francisco-Oakland-Fremont, CA Metropolitan Statistical AreaSan Francisco-Oakland-Fremont, CA Metropolitan Statistical AreaSan Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",644.4680764,6.615291275,0.475583199,2.80920141
129,3.004889317,0.291382359,0.451742549,0.55028467,0.023306341,1.360844501,0,0.042672212,0.107264493,0.17739219,740482,7211.944646,24340,"Grand Rapids-Wyoming, MI Metropolitan Statistical AreaGrand Rapids-Wyoming, MI Metropolitan Statistical AreaGrand Rapids-Wyoming, MI Metropolitan Statistical AreaGrand Rapids-Wyoming, MI Metropolitan Statistical Area",102.6743876,5.869514506,0.47782848,2.011462121
190,3.025381577,0.379107233,0.28370287,0.829976029,1.62E-05,1.188443421,0,0.066827532,0.167983342,0.109324935,103793,1211.926439,30340,"Lewiston-Auburn, ME Metropolitan Statistical Area",85.64298679,5.016168065,0.480780158,1.932691805
277,3.04046209,0.221829359,0.268055859,0.497545213,0.423046788,1.363369061,0,0.036841859,0.092608824,0.137165129,1037831,7583.7936,40380,"Rochester, NY Metropolitan Statistical AreaRochester, NY Metropolitan Statistical AreaRochester, NY Metropolitan Statistical AreaRochester, NY Metropolitan Statistical AreaRochester, NY Metropolitan Statistical Area",136.8485292,6.016126639,0.482939593,2.136240134
80,3.044257097,0.441649429,0.442322739,0.511719738,0,1.501377764,0,0.01615538,0.04060955,0.090422506,102008,1947.6387,19060,"Cumberland, MD-WV Metropolitan Statistical AreaCumberland, MD-WV Metropolitan Statistical Area",52.37521723,5.008634233,0.483481327,1.719125837
154,3.08190248,0.324543205,0.295093829,0.549739117,0.000138867,1.597824896,0,0.015369331,0.038633623,0.260559616,131676,3063.63193,26980,"Iowa City, IA Metropolitan Statistical AreaIowa City, IA Metropolitan Statistical Area",42.98035894,5.119506625,0.488818892,1.633270038
253,3.082174975,0.304719154,0.518271879,0.511664796,0.464980943,1.059528618,0,0.034788629,0.087447642,0.100773313,5687147,11919.38723,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical AreaPhiladelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",477.1341756,6.754894454,0.48885729,2.678640525
133,3.104509062,0.14408561,0.365978596,0.281311241,0.357933249,1.639687582,0,0.04178962,0.105045923,0.168677242,643430,5163.845659,24660,"Greensboro-High Point, NC Metropolitan Statistical AreaGreensboro-High Point, NC Metropolitan Statistical AreaGreensboro-High Point, NC Metropolitan Statistical Area",124.6028721,5.808501306,0.491992932,2.095528053
